Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR34737867_1_paired	54.77710837996787	49.0	147.95167661168668	150	9.090909090909092	37400461.0
SRR34737867_2_paired	54.26344589781478	49.0	148.1057430014031	150	9.090909090909092	37400461.0
SRR34737870_1_paired	56.88723685650242	49.0	147.8876837659253	150	9.090909090909092	37480085.0
SRR34737870_2_paired	55.91607339187549	49.0	147.59271559816366	150	9.090909090909092	37480085.0
SRR34737873_1_paired	58.10552925858095	50.0	147.95363716470808	150	9.090909090909092	36861982.0
SRR34737873_2_paired	57.56145932009545	50.0	147.91736195845357	150	9.090909090909092	36861982.0
SRR34737876_1_paired	57.53230406678219	49.0	147.94245937139473	150	9.090909090909092	37844703.0
SRR34737876_2_paired	56.73701505436347	49.0	147.76342237379959	150	9.090909090909092	37844703.0
