Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR34737867_1_paired	SRR34737867_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37400461.0	5.5 Gbp	0.0	36-150	49.0	45.22289162003213	147.95167661168668	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR34737867_2_paired	SRR34737867_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37400461.0	5.5 Gbp	0.0	36-150	49.0	45.73655410218522	148.1057430014031	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR34737870_1_paired	SRR34737870_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37480085.0	5.5 Gbp	0.0	36-150	49.0	43.11276314349758	147.8876837659253	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	pass	pass
SRR34737870_2_paired	SRR34737870_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37480085.0	5.5 Gbp	0.0	36-150	49.0	44.08392660812451	147.59271559816366	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR34737873_1_paired	SRR34737873_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36861982.0	5.4 Gbp	0.0	36-150	50.0	41.89447074141905	147.95363716470808	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	pass	pass
SRR34737873_2_paired	SRR34737873_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36861982.0	5.4 Gbp	0.0	36-150	50.0	42.43854067990455	147.91736195845357	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
SRR34737876_1_paired	SRR34737876_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37844703.0	5.5 Gbp	0.0	36-150	49.0	42.46769593321781	147.94245937139473	150	pass	pass	warn	pass	warn	pass	pass	warn	fail	pass	pass
SRR34737876_2_paired	SRR34737876_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37844703.0	5.5 Gbp	0.0	36-150	49.0	43.26298494563653	147.76342237379959	150	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
